form	status	emphasis	"meaning change"	type	novel	lineno	matchno	sent
1	1			0	Dewulf_KleineDagen	31	1	"Hij zegt dan goeiendag tegen zichzelf , vinden wij ."
1	1			0	Dewulf_KleineDagen	32	1	"Zichzelf , dat kent hij nog niet , denken wij ."
1		1		0	Dewulf_KleineDagen	41	1	"Wij weten het niet ."
1				0	Dewulf_KleineDagen	43	1	"Vaak zien wij dat laatste pas op foto's ."
1	2	1		0	Dewulf_KleineDagen	47	1	"Als hij fronst kan hij onnoemelijk oud zijn , gemaakt van babyleer , en getekender dan wij ."
1	2	1		0	Dewulf_KleineDagen	48	1	"Maar leg hem neer in echte lederen handen , van een grootvader , en hij wordt wat hij is : een bijna akelig volledig mensje , dat nu vollediger rust dan wij ooit nog zullen kunnen ."
1		1		0	Dewulf_KleineDagen	59	1	"Nu mogen wij dat weer doen ."
1	2	1		0	Dewulf_KleineDagen	63	1	"Lachen is simpel : als hij het doet , wij ook ."
1		1	1	0	Dewulf_KleineDagen	64	1	"Maar als hij huilt , doen wij dat niet ."
1				0	Dewulf_KleineDagen	85	1	"Wij hebben hem gewild , dat geeft ons de illusie dat we iets te willen hebben ."
0				0	Dewulf_KleineDagen	85	2	"Wij hebben hem gewild , dat geeft ons de illusie dat we iets te willen hebben ."
1		1		0	Dewulf_KleineDagen	91	1	"Waarom wil jij altijd vechten , vraag ik in de neutrale zone van de badkamer ."
0	2			2	Japin_Vaslav	1	1	"Je moet worden wie je bent !"
0	2			2	Japin_Vaslav	1	2	"Je moet worden wie je bent !"
0				0	Japin_Vaslav	7	1	"Haar zoiets te moeten zeggen over de man op wie ze haar hele ziel heeft ingezet , voor wie ze haar lijf heeft afgebeuld tot haar spieren ervan scheurden en het bloed in haar schoenen stond ."
0				0	Japin_Vaslav	7	2	"Haar zoiets te moeten zeggen over de man op wie ze haar hele ziel heeft ingezet , voor wie ze haar lijf heeft afgebeuld tot haar spieren ervan scheurden en het bloed in haar schoenen stond ."
0				0	Japin_Vaslav	9	1	"Ze heeft voor hem gestreden als een straatmeid en hem veroverd als een strateeg ."
0	2			2	Japin_Vaslav	11	1	"Hoe kun je iemand die liefheeft voor zoiets de ogen openen ?"
1	2	1		0	Japin_Vaslav	15	1	"Het laatste wat ik wilde was haar aan het schrikken maken , maar mij doet het evengoed pijn het te moeten aanzien ."
1	2	1		0	Japin_Vaslav	16	1	"Ons allemaal hier in huis , maar mij misschien nog net iets meer ."
0				0	Japin_Vaslav	21	1	"Ik heb het haar gezegd , maar ze wilde het niet horen ."
0				0	Japin_Vaslav	26	1	"Dat is me niet in dank afgenomen ."
0	1			0	Japin_Vaslav	27	1	"Marie en Lise vielen me nog bij , maar er was er maar één de kwaaie pier , dat voelde je ."
0	2			2	Japin_Vaslav	27	2	"Marie en Lise vielen me nog bij , maar er was er maar één de kwaaie pier , dat voelde je ."
0				0	Japin_Vaslav	29	1	"En later heeft ze dat gezegd ook , dat ik mijn plaats moest weten en dat als ik die niet kende , zij mij weg zou sturen ."
1		1		0	Japin_Vaslav	29	2	"En later heeft ze dat gezegd ook , dat ik mijn plaats moest weten en dat als ik die niet kende , zij mij weg zou sturen ."
1	1	1		0	Japin_Vaslav	29	3	"En later heeft ze dat gezegd ook , dat ik mijn plaats moest weten en dat als ik die niet kende , zij mij weg zou sturen ."
0	1			0	Japin_Vaslav	31	1	"Nog geen maand later , zodra het vrede was , begon ze brieven te schrijven ."
0				0	Japin_Vaslav	32	1	"Twee , drie keer op een dag stuurde ze me naar de post ."
0	1			0	Japin_Vaslav	32	2	"Twee , drie keer op een dag stuurde ze me naar de post ."
0				0	Japin_Vaslav	34	1	"Ook zag ik de namen van al die mensen over wie ze het altijd heeft , allemaal kunstenaars , sommigen zo beroemd dat wíj er in dit dal zelfs van gehoord hebben , zogenaamde oude vrienden , al heb ik ze hier nog nooit een voet zien zetten , op wie ze al haar hoop heeft gezet ."
1	2	1		0	Japin_Vaslav	34	1	"Ook zag ik de namen van al die mensen over wie ze het altijd heeft , allemaal kunstenaars , sommigen zo beroemd dat wíj er in dit dal zelfs van gehoord hebben , zogenaamde oude vrienden , al heb ik ze hier nog nooit een voet zien zetten , op wie ze al haar hoop heeft gezet ."
0				0	Japin_Vaslav	34	2	"Ook zag ik de namen van al die mensen over wie ze het altijd heeft , allemaal kunstenaars , sommigen zo beroemd dat wíj er in dit dal zelfs van gehoord hebben , zogenaamde oude vrienden , al heb ik ze hier nog nooit een voet zien zetten , op wie ze al haar hoop heeft gezet ."
0				0	Japin_Vaslav	34	3	"Ook zag ik de namen van al die mensen over wie ze het altijd heeft , allemaal kunstenaars , sommigen zo beroemd dat wíj er in dit dal zelfs van gehoord hebben , zogenaamde oude vrienden , al heb ik ze hier nog nooit een voet zien zetten , op wie ze al haar hoop heeft gezet ."
0				0	Japin_Vaslav	36	1	"Dan trok ze de enveloppe uit mijn handen en scheurde hem open alsof haar laatste adem erin zat ."
0				0	Japin_Vaslav	37	1	"Haar blik vloog over het vel , en als het nieuws goed was drukte ze het papier tegen haar borst ."
0				0	Japin_Vaslav	38	1	" O Peter , ' verzuchtte ze een keer , ' ze zijn hem niet vergeten ! '"
0	1			0	Japin_Vaslav	38	2	" O Peter , ' verzuchtte ze een keer , ' ze zijn hem niet vergeten ! '"
1				0	Japin_Vaslav	39	1	"Toen wist ik zeker dat zij de ernst van mijn woorden niet begrepen had ."
0				0	Japin_Vaslav	40	1	"Dat ze haar zinnen erop had gezet mijnheer weer aan zijn publiek te tonen ."
0				0	Japin_Vaslav	42	1	"Zodra ik merkte dat ze voorbereidingen begon te treffen voor vandaag heb ik al mijn moed verzameld en nog een keer gesproken ."
0	2			2	Japin_Vaslav	44	1	"Ik dacht dat ik daar goed aan deed , maar je zult zien dat ik er straks de schuld van krijg , zo meteen , als het te laat is ."
0				0	Japin_Vaslav	45	1	" Het is goed bedoeld , ' zei ze , ' daar twijfel ik niet aan , maar je zit ernaast , helemaal ."
0				0	Japin_Vaslav	45	2	" Het is goed bedoeld , ' zei ze , ' daar twijfel ik niet aan , maar je zit ernaast , helemaal ."
1				0	Japin_Vaslav	46	1	"Vaslav is amper dertig , wij hebben wel zo'n drie , vier jaar waarin hij zijn volle kracht nog heeft ."
1		1		0	Japin_Vaslav	47	1	"Jij ziet toch zeker ook dat het zijn leven is ?"
1		1		0	Japin_Vaslav	50	1	"Wou jij van hem vragen dat allemaal binnen te houden , voor zichzelf , waar niemand het kan zien ?"
1				1	Japin_Vaslav	52	1	" Alstublieft mevrouw , ' heb ik gezegd , ' sommige mensen zijn nou eenmaal liever met hun dromen alleen . '"
0				0	Japin_Vaslav	60	1	"Ze kreunt even , haalt een keer diep adem alsof ze zich wil omdraaien ."
0				0	Japin_Vaslav	60	2	"Ze kreunt even , haalt een keer diep adem alsof ze zich wil omdraaien ."
0				0	Japin_Vaslav	61	1	"Ik heb mijn armen om haar heen geslagen en druk haar nog eens tegen me aan , waarop ze weer ontspant ."
0				0	Japin_Vaslav	61	2	"Ik heb mijn armen om haar heen geslagen en druk haar nog eens tegen me aan , waarop ze weer ontspant ."
0	1			0	Japin_Vaslav	62	1	"Zo lig ik het liefst , mijn hoofd tussen haar schouders , mijn onderlijf stijf tegen het hare , knieën samen opgetrokken , alsof zij mij op haar rug draagt en me veilig over donzen bergen gidst ."
1		1		0	Japin_Vaslav	62	1	"Zo lig ik het liefst , mijn hoofd tussen haar schouders , mijn onderlijf stijf tegen het hare , knieën samen opgetrokken , alsof zij mij op haar rug draagt en me veilig over donzen bergen gidst ."
1	1	1		0	Japin_Vaslav	62	2	"Zo lig ik het liefst , mijn hoofd tussen haar schouders , mijn onderlijf stijf tegen het hare , knieën samen opgetrokken , alsof zij mij op haar rug draagt en me veilig over donzen bergen gidst ."
0	1			3	Japin_Vaslav	68	1	"Ze weerkaatsen in de kloof van Lises dijen waar ik tussendoor zweef ."
0	1			0	Japin_Vaslav	69	1	"Onder me zie ik de zon in de Inn weerkaatst , een zilveren lint dat de meren van Sankt Moritz , Sils en Silvaplana doorrijgt , maar het volgende salvo schiet me wakker ."
0				0	Japin_Vaslav	69	1	"Onder me zie ik de zon in de Inn weerkaatst , een zilveren lint dat de meren van Sankt Moritz , Sils en Silvaplana doorrijgt , maar het volgende salvo schiet me wakker ."
0				0	Japin_Vaslav	73	1	"Door samengeknepen wimpers kijkt ze hoe ik vechtend met mijn onderbroek op één been door de kamer spring ."
0				0	Japin_Vaslav	75	1	"Als ik struikel , schiet ze in de lach ."
0	1			0	Japin_Vaslav	77	1	" Het kleintje , ' snikt Marie , ' ze is weg . '"
0	1			0	Japin_Vaslav	78	1	"Ik knoop mijn hemd dicht terwijl we naar beneden rennen ."
0	2			0	Japin_Vaslav	84	1	"Mooie gouvernante is me dat ."
1		1	1	0	Japin_Vaslav	86	1	"Jij moet mee om bij te lichten . '"
0	1			0	Japin_Vaslav	88	1	"Ik ga de achtertrap af naar het stookhok , drenk een rag in de petroleum , wind hem om een teerfakkel en wil die aansteken als ik me ineens bedenk ."
0				0	Japin_Vaslav	99	1	"We lopen om de villa heen het pad af naar de stallen ."
0	1			0	Kooten_Verrekijker	5	1	"Hij bivakkeerde op vreemde zolders en op schoorsteenmantels , hing aan kapstokken , stond onder aanrechten en in meterkasten , heeft zich een jaar lang schuilgehouden in een dekenkist en toch , hij staat hier voor me , bleef hij onverminderd naar zichzelf ruiken ."
1				0	Kooten_Verrekijker	6	1	"En naar mijn vader , wanneer wij samen driehoog op ons balkon stonden en hij achter mij hurkte , zijn armen om mij heen sloeg , het loodzware gevaarte voor mijn ogen hief en net zo lang het scherpstelwieltje heen en terug draaide tot ik de koeien in het weiland zo dichtbij zag staan dat de verderkijker , want zo noemde ik hem , een kijkdoos leek ."
1		1		0	Kooten_Verrekijker	6	2	"En naar mijn vader , wanneer wij samen driehoog op ons balkon stonden en hij achter mij hurkte , zijn armen om mij heen sloeg , het loodzware gevaarte voor mijn ogen hief en net zo lang het scherpstelwieltje heen en terug draaide tot ik de koeien in het weiland zo dichtbij zag staan dat de verderkijker , want zo noemde ik hem , een kijkdoos leek ."
1				0	Kooten_Verrekijker	6	3	"En naar mijn vader , wanneer wij samen driehoog op ons balkon stonden en hij achter mij hurkte , zijn armen om mij heen sloeg , het loodzware gevaarte voor mijn ogen hief en net zo lang het scherpstelwieltje heen en terug draaide tot ik de koeien in het weiland zo dichtbij zag staan dat de verderkijker , want zo noemde ik hem , een kijkdoos leek ."
1	2	1		0	Kooten_Verrekijker	12	1	"Voor mij alleen was de verderkijker veel te zwaar ."
1	1			0	Kooten_Verrekijker	18	1	"Aangezien mijn vader mij de juiste manier van verrekijken had onderwezen - je moet met beurtelings dichtgeknepen ogen het oculair blijven scherp stellen totdat de twee lensrondingen samenvallen en één grote cirkel vormen - , begon ik tien jaar later bij cowboyfilms van boven de veertien te schamperen zodra de regisseur het beeldclichétrucje van de twee kringen met hun klokhuisvormige tussenwand van stal haalde ; om ons zogenaamd te laten meekijken met de hoofdrolspeler die zijn verrekijker op de woestijn richtte , speurend of die stofwolk in de verte wellicht werd veroorzaakt door het galopperende paard van zijn naderende aartsvijand ."
0	2			2	Kooten_Verrekijker	18	2	"Aangezien mijn vader mij de juiste manier van verrekijken had onderwezen - je moet met beurtelings dichtgeknepen ogen het oculair blijven scherp stellen totdat de twee lensrondingen samenvallen en één grote cirkel vormen - , begon ik tien jaar later bij cowboyfilms van boven de veertien te schamperen zodra de regisseur het beeldclichétrucje van de twee kringen met hun klokhuisvormige tussenwand van stal haalde ; om ons zogenaamd te laten meekijken met de hoofdrolspeler die zijn verrekijker op de woestijn richtte , speurend of die stofwolk in de verte wellicht werd veroorzaakt door het galopperende paard van zijn naderende aartsvijand ."
1				1	Kooten_Verrekijker	18	3	"Aangezien mijn vader mij de juiste manier van verrekijken had onderwezen - je moet met beurtelings dichtgeknepen ogen het oculair blijven scherp stellen totdat de twee lensrondingen samenvallen en één grote cirkel vormen - , begon ik tien jaar later bij cowboyfilms van boven de veertien te schamperen zodra de regisseur het beeldclichétrucje van de twee kringen met hun klokhuisvormige tussenwand van stal haalde ; om ons zogenaamd te laten meekijken met de hoofdrolspeler die zijn verrekijker op de woestijn richtte , speurend of die stofwolk in de verte wellicht werd veroorzaakt door het galopperende paard van zijn naderende aartsvijand ."
1				0	Kooten_Verrekijker	34	1	"Wij waren de enige bezoekers van l'Harmas de Fabre , vijf kilometer buiten het Franse stadje Sérignan-du-Comtat aan een voet van de Mont Ventoux , en wij stonden , op een haar na betrapt , in de Teylers-achtige werkkamer van de entomoloog alias insectenkundige , humanist , filosoof , naturalist , docent , bioloog , wiskundige , schrijver , dichter , tekenaar en schilder Jean-Henri Fabre ( 1823-1915 ) , achter wiens piepkleine werktafel ik krap twee eerbiedige minuten had gezeten - lang genoeg om met mijn uitschuifbare mètre , die ik speciaal voor dit doel bij mij had gestoken , de maten hiervan op te nemen ."
1				0	Kooten_Verrekijker	34	2	"Wij waren de enige bezoekers van l'Harmas de Fabre , vijf kilometer buiten het Franse stadje Sérignan-du-Comtat aan een voet van de Mont Ventoux , en wij stonden , op een haar na betrapt , in de Teylers-achtige werkkamer van de entomoloog alias insectenkundige , humanist , filosoof , naturalist , docent , bioloog , wiskundige , schrijver , dichter , tekenaar en schilder Jean-Henri Fabre ( 1823-1915 ) , achter wiens piepkleine werktafel ik krap twee eerbiedige minuten had gezeten - lang genoeg om met mijn uitschuifbare mètre , die ik speciaal voor dit doel bij mij had gestoken , de maten hiervan op te nemen ."
1				0	Kooten_Verrekijker	34	3	"Wij waren de enige bezoekers van l'Harmas de Fabre , vijf kilometer buiten het Franse stadje Sérignan-du-Comtat aan een voet van de Mont Ventoux , en wij stonden , op een haar na betrapt , in de Teylers-achtige werkkamer van de entomoloog alias insectenkundige , humanist , filosoof , naturalist , docent , bioloog , wiskundige , schrijver , dichter , tekenaar en schilder Jean-Henri Fabre ( 1823-1915 ) , achter wiens piepkleine werktafel ik krap twee eerbiedige minuten had gezeten - lang genoeg om met mijn uitschuifbare mètre , die ik speciaal voor dit doel bij mij had gestoken , de maten hiervan op te nemen ."
0	2			2	Kooten_Verrekijker	39	1	"Op die foto uit 1887 zie je het knopje aan de lade als je vóór het tafeltje staat en niet wanneer je erachter zit ."
0	2			2	Kooten_Verrekijker	39	2	"Op die foto uit 1887 zie je het knopje aan de lade als je vóór het tafeltje staat en niet wanneer je erachter zit ."
0	2			2	Kooten_Verrekijker	39	3	"Op die foto uit 1887 zie je het knopje aan de lade als je vóór het tafeltje staat en niet wanneer je erachter zit ."
1				0	Kooten_Verrekijker	41	1	"Fabre moest dus opstaan en omlopen wanneer hij iets uit die schuifla wilde pakken , wat mij ongemakkelijk lijkt ."
0	1			0	Kooten_Verrekijker	45	1	"Je zoudt mij niet meer herkennen , dierbare vriend , indien je nu een blik op mijn grijze manen kon werpen ."
1				0	Kooten_Verrekijker	45	2	"Je zoudt mij niet meer herkennen , dierbare vriend , indien je nu een blik op mijn grijze manen kon werpen ."
0	1			0	Kooten_Verrekijker	45	3	"Je zoudt mij niet meer herkennen , dierbare vriend , indien je nu een blik op mijn grijze manen kon werpen ."
1	2	1		0	Kooten_Verrekijker	48	1	"En wat ben jij op jouw beurt vervallen tot een gammele ruïne , sinds de dag waarop ik je van de meubelmaker aftroggelde !"
0	1			0	Kooten_Verrekijker	48	2	"En wat ben jij op jouw beurt vervallen tot een gammele ruïne , sinds de dag waarop ik je van de meubelmaker aftroggelde !"
0	1			0	Kooten_Verrekijker	49	1	"Toen glom je van de bijenwas en nu tel je evenveel droge rimpels en doffe groeven als je meester en alles wat hij schrijft ."
0	1			0	Kooten_Verrekijker	49	2	"Toen glom je van de bijenwas en nu tel je evenveel droge rimpels en doffe groeven als je meester en alles wat hij schrijft ."
0				1	Kooten_Verrekijker	49	3	"Toen glom je van de bijenwas en nu tel je evenveel droge rimpels en doffe groeven als je meester en alles wat hij schrijft ."
1				0	Kooten_Verrekijker	50	1	"Dat zie ik maar al te goed , want in mijn ongeduld gebeurde het maar al te vaak dat ik jou een krasje met mijn pen moest geven omdat de ijzeren punt hiervan , uit de drabbige inktpot komende , anders een onleesbaar schrift zou opleveren ."
1				0	Kooten_Verrekijker	51	1	"Wat moet er van jou worden als ik er niet meer zijn zal ?"
0	1			0	Kooten_Verrekijker	52	1	"Zul je voor twintig stuivers aan de hoogste bieder worden verkocht omdat mijn nakomelingen zich nog amper om mijn geschriften en verzamelingen zullen bekommeren ?"
0	1			0	Kooten_Verrekijker	53	1	"Eindig je dan als bokje voor de wijnkruik , ergens in een hoek naast een gootsteen ?"
0	1			0	Kooten_Verrekijker	54	1	"Of zul je ten leste dienen als een aanrechtplank waar men de kool op snijdt ?"
0	1			0	Kooten_Verrekijker	55	1	"Wellicht word je nog ooit gebruikt bij wijze van nachttafeltje voor de pispot en een kom kruidenthee , totdat je , totaal vervallen , afgeleefd , kreupel en met gebroken poten , in mootjes wordt gehakt om het vuur mee aan te maken onder een stoofpan vol aardappels ."
0	1			0	Kooten_Verrekijker	55	2	"Wellicht word je nog ooit gebruikt bij wijze van nachttafeltje voor de pispot en een kom kruidenthee , totdat je , totaal vervallen , afgeleefd , kreupel en met gebroken poten , in mootjes wordt gehakt om het vuur mee aan te maken onder een stoofpan vol aardappels ."
0	1			0	Kooten_Verrekijker	56	1	"En je zult in rook opgaan en die rook zal zich vermengen met de rook waarin mijn werk zal verzwinden ; de grote wolk der vergetelheid , het uiteindelijke overblijfsel van al onze ijdele inspanningen ."
1				1	Kooten_Verrekijker	58	1	"Ik ging mijn op twee adressen huizende drie bureaus schoonvegen en de verzamelde inhoud van hun veertien laden ongezien wegkieperen ."
0				2	Kooten_Verrekijker	64	1	"Dat hoor je vanuit hun doodsangst steeds meer mensen roepen : ' Ik ben van plan honderdentien te gaan worden ! '"
1				1	Kooten_Verrekijker	64	2	"Dat hoor je vanuit hun doodsangst steeds meer mensen roepen : ' Ik ben van plan honderdentien te gaan worden ! '"
1				0	Kooten_Verrekijker	70	1	"Wij weten best dat deze wens al te overmoedig is , maar door in gezelschap of tijdens een persoonlijk vraaggesprek zo'n hartekreet te slaken , hopen we het recht te verwerven dan toch ten minste de negentig te halen ."
